instances,feature_CL,feature_TD_P,feature_LSC,feature_DCP,feature_CLD,feature_N2,feature_TD_U,feature_LSR,feature_Usefulness,feature_kDN,feature_DS,feature_Harmfulness,feature_N1,algo_random_forest
68,9.818957142915252e-07,0.5,0.5588235294117647,0.0,9.818957144025475e-07,0.2878927062281831,0.5,0.6395759717314488,0.4571428571428572,0.0,0.11764705882352944,0.0,0.0,9.992007221626415e-16
69,2.332067641552804e-06,0.5,0.32352941176470584,0.0,2.332067641164226e-06,0.07835742719463645,0.5,0.4902665121668598,0.4571428571428572,0.0,0.11764705882352944,0.0,0.0,9.992007221626415e-16
70,0.04313551327022114,0.5,0.8823529411764706,0.0,0.043135513270221304,0.2786769880365939,0.5,0.8118748279342939,0.8285714285714285,0.2,0.11764705882352944,0.0,0.0,0.08167803101426724
71,0.004546191934505672,1.0,0.7575757575757576,0.0,0.004546191934505228,0.3170529801324504,1.0,0.7078267028686105,0.6176470588235294,0.0,0.08823529411764708,0.0,0.0,0.02197890671877523
72,3.3296199020149686e-08,0.25,0.0,0.0,3.329619735481515e-08,0.0918222976796832,0.25,0.0,0.05714285714285716,0.0,0.0,0.0,0.0,9.992007221626415e-16
73,2.9434878978662482e-08,0.25,0.0,0.0,2.9434878201506365e-08,0.1365290500690175,0.25,0.0,0.05714285714285716,0.0,0.0,0.0,0.0,9.992007221626415e-16
74,0.5885569855895924,1.0,0.8484848484848485,0.0,0.5885569855895925,0.3206143508519318,1.0,0.7725556358961999,0.8529411764705882,0.0,0.08823529411764708,0.0,0.0,0.13675893711538917
75,2.0357113106328484e-08,0.25,0.02941176470588236,0.0,2.035711249570582e-08,0.060066101451358045,0.25,0.11643928137241655,0.05714285714285716,0.0,0.0,0.0,0.0,9.992007221626415e-16
76,6.6231624629153885e-09,0.25,0.0,0.0,6.623161241670061e-09,0.028610354223433165,0.25,0.0,0.05714285714285716,0.0,0.0,0.0,0.0,9.992007221626415e-16
77,7.003867708021971e-09,0.5,0.5588235294117647,0.0,7.003867708021971e-09,0.16286807519547486,0.5,0.5475633878798777,0.6285714285714286,0.0,0.11764705882352944,0.0,0.0,9.992007221626415e-16
78,0.0074964862574216085,1.0,1.0,0.0,0.007496486257421775,0.5215753424657534,1.0,0.8172422815279958,0.8235294117647058,0.2,0.08823529411764708,0.029411764705882353,0.5,0.08167803101426724
79,0.23615673098061196,1.0,0.7272727272727273,0.0,0.23615673098061146,0.24366222870691223,1.0,0.6624888093106536,0.8823529411764706,0.0,0.08823529411764708,0.0,0.0,0.04000533461369913
80,0.08608830475635398,0.5,0.9411764705882353,0.0,0.08608830475635365,0.17674418604651165,0.5,0.819872328615043,0.8,0.4,0.11764705882352944,0.08571428571428572,0.0,0.07006756261671696
81,9.097246228551015e-07,0.25,0.11764705882352944,0.0,9.097246135847392e-07,0.18713355048859925,0.25,0.3061309606561936,0.05714285714285716,0.0,0.0,0.0,0.0,0.016438726343159835
82,2.1671553440683056e-12,0.5,0.3529411764705882,0.0,2.1669332994633805e-12,0.28562869126080626,0.5,0.45178665265370466,0.7714285714285715,0.0,0.11764705882352944,0.0,0.0,9.992007221626415e-16
83,0.15530363519728374,0.5,0.9411764705882353,0.0,0.15530363519728407,0.17005695687550848,0.5,0.8182951812594639,0.9142857142857143,0.6,0.11764705882352944,0.17142857142857143,0.0,0.5538851132264377
84,2.4767441431094994e-09,0.25,0.0,0.0,2.476744476176407e-09,0.16093945519299258,0.25,0.0,0.05714285714285716,0.0,0.0,0.0,0.0,9.992007221626415e-16
85,1.968071485780598e-07,0.25,0.0,0.0,1.9680711538239137e-07,0.09263718159929024,0.25,0.0,0.05714285714285716,0.0,0.0,0.0,0.0,9.992007221626415e-16
86,3.865250176260382e-06,0.25,0.02941176470588236,0.0,3.865249933288073e-06,0.1415379957614289,0.25,0.05750373940501907,0.05714285714285716,0.0,0.0,0.0,0.0,9.992007221626415e-16
87,0.48455132216720254,1.0,1.0,0.0,0.4845513221672026,0.522497897392767,1.0,0.8172086284610431,0.9428571428571428,0.8,0.9411764705882353,0.02857142857142857,1.0,0.39465419200394874
88,5.1471101603084435e-08,0.25,0.0,0.0,5.14711000487722e-08,0.05629629629629629,0.25,0.0,0.05714285714285716,0.0,0.0,0.0,0.0,9.992007221626415e-16
89,0.02465364624275046,0.5,1.0,0.0,0.024653646242750238,0.5111821086261981,0.5,0.8545501685247602,0.8571428571428572,0.4,0.11764705882352944,0.0,0.5,9.992007221626415e-16
90,2.055943629120094e-06,0.5,0.5882352941176471,0.0,2.0559436293976496e-06,0.23571428571428565,0.5,0.5148309087474022,0.7142857142857143,0.0,0.11764705882352944,0.0,0.0,9.992007221626415e-16
91,0.01731401398031529,1.0,0.8787878787878788,0.0,0.017314013980315568,0.21891348088531193,1.0,0.7875670351318813,0.5,0.2,0.08823529411764708,0.0,0.25,0.011560822401075971
